"stage","stage09","stage15","ch_high","nburn","strata","stat","cc_year","metric","value"
"recovering","early","early",0,2,"Understory","mnl",2015,"cc_01_mnl",-1.80046440383691
"recovering","early","early",0,2,"Understory","sdl",2015,"cc_01_sdl",0.776840294081976
"recovering","early","early",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-3.68121346486117
"recovering","early","early",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",1.31661140632765
"recovering","early","early",0,2,"Canopy","mnl",2015,"cc_08_mnl",-6.09410645012687
"recovering","early","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",1.47320002497781
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.40544707340904
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.513989963110239
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.67629529005092
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.10238086779858
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-4.20537584920066
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.93374481098159
"recovering","early","early",0,2,"Understory","mnl",2015,"cc_01_mnl",-2.19145169128184
"recovering","early","early",0,2,"Understory","sdl",2015,"cc_01_sdl",0.875870916875778
"recovering","early","early",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-3.43207347882457
"recovering","early","early",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",1.54395115887758
"recovering","early","early",0,2,"Canopy","mnl",2015,"cc_08_mnl",-5.5297637687733
"recovering","early","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",1.62610598892681
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.23797886695629
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.441721983482379
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.30300842365287
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.910328779282618
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.52073551252382
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.55459349405624
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.60410653917551
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.619979204693593
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.34195838835983
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.04648191102635
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.6088956012042
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.78760986603747
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-3.86823134657423
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",1.12811347256879
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.992830011423
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.965096783781599
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.89363166746775
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.61368650143487
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-4.27835869417774
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",1.11386701124198
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.83496380089316
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.716313423250101
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.72726443525631
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.25720177586638
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-3.63356694259058
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",1.14149237681034
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.06038091795294
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.06455873646346
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.62508114096323
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.57621723849323
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-1.83496684640015
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",0.663903582054479
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.43815236324272
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.820096646332518
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.09977970477307
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.66539118903141
"once burned early","early","late",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.97845368505104
"once burned early","early","late",0,1,"Understory","sdl",2009,"cc_01_sdl",0.948512697102406
"once burned early","early","late",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.93041500780446
"once burned early","early","late",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.674282095737742
"once burned early","early","late",0,1,"Canopy","mnl",2009,"cc_08_mnl",-2.32680667544855
"once burned early","early","late",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.54788481461241
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-1.46604902927574
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",0.430284971349389
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.86406540647001
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.648672977169575
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-4.14124596044808
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.79918386649072
"unburned forest","suppressed","suppressed",NA,0,"Understory","mnl",2015,"cc_01_mnl",-3.49372143519985
"unburned forest","suppressed","suppressed",NA,0,"Understory","sdl",2015,"cc_01_sdl",1.05852588222627
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","mnl",2015,"cc_02_mnl",-1.18181203448474
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","sdl",2015,"cc_02_sdl",0.516368510470602
